name;frequency
Kistler;7
Klauser;7
Krüsi;7
Kyd;7
Langhans;7
Legler;7
Lehner;7
Letter;7
Linder;7
Lohner;7
Loretan;7
Ludwig;7
Maissen;7
Martini;7
Maurice;7
Meiss;7
Monnier;7
Mumenthaler;7
Näf;7
Odier;7
Olivier;7
Oschwald;7
Ostervald;7
Paleari;7
Pettavel;7
Pfluger;7
Pletscher;7
Preiswerk;7
Rappard;7
Reichel;7
Rikli;7
Ritz;7
Rivier;7
Rodolphe;7
Rossel;7
Sauter;7
Schellenberg;7
Schmidlin;7
Schön;7
Schürpf;7
Schwendener;7
Sigerist;7
Singer;7
Soldati;7
Speck;7
Speiser;7
Stutz;7
Sulzberger;7
Thellung;7
Toggenburg;7
Trivulzio;7
Troger;7
Utiger;7
Venetz;7
Viollier;7
Wegmann;7
Wickart;7
Wille;7
Winkelried;7
Wyler;7
Zeerleder;7
Zehender;7
Zollinger;7
Aebi;6
Ah;6
Alikon;6
Allamand;6
Amerbach;6
Amstein;6
André;6
Angehrn;6
Antognini;6
Arbon;6
Bähler;6
Bärlocher;6
Beer;6
Béguelin;6
Berchem;6
Berlepsch;6
Bindschedler;6
Binswanger;6
Bischofberger;6
Blanchet;6
Blaser;6
Blättler;6
Boissier;6
Boner;6
Bonnard;6
Bonvin;6
Bonzanigo;6
Bordier;6
Bosshard;6
Bourbon;6
Bourgknecht;6
Bräm;6
Brandt;6
Bruckner;6
Brunn;6
Brunschweiler;6
Buff;6
Bugnion;6
Burgener;6
Buri;6
Burkhard;6
Burri;6
Bussi;6
Bussnang;6
Camenisch;6
Cham;6
Chapeaurouge;6
Chaponnière;6
Cherbuliez;6
Chevron;6
Clavel;6
Clément;6
Clerc;6
Compey;6
Comte;6
Cossonay;6
Couchepin;6
Custer;6
Cysat;6
Degen;6
Diesse;6
Dillier;6
Divonne;6
Dreifuss;6
Ducommun;6
Dürr;6
Dutoit;6
Eberhard;6
Eggenberger;6
Ehrenberg;6
Eichhorn;6
Einwil;6
Eisenhut;6
Elmer;6
Erstfeld;6
Ettlin;6
Fabri;6
Fazy;6
Federspiel;6
Felber;6
Fenis;6
Flachslanden;6
Flury;6
Frauenfeld;6
Freudenreich;6
Gady;6
Gagnebin;6
Gay;6
Geigy;6
Gelpke;6
Girod;6
Girtanner;6
Glaser;6
Glasson;6
Gloor;6
Gobat;6
Good;6
Griset;6
Grossmann;6
Gschwend;6
Gschwind;6
Gugger;6
Güttingen;6
Guy;6
Hässi;6
Hecht;6
Hegner;6
Heiligenberg;6
Heinzli;6
Helbling;6
Helmsdorf;6
Heusler;6
Hochreutiner;6
Hohenems;6
Horner;6
Hory;6
Iberg;6
Jecklin;6
Joos;6
Jung;6
Jütz;6
Knab;6
Krenkingen;6
Küpfer;6
Labhardt;6
Lachenal;6
Landerset;6
Landis;6
Landtwing;6
Lauber;6
Lavallaz;6
Leemann;6
Legrand;6
Lentulus;6
Leuw;6
Leuzinger;6
Liebenau;6
Loriol;6
Louis;6
Luder;6
Lumbrein;6
Maderni;6
Maier;6
Malters;6
Manesse;6
Mann;6
Manser;6
Marmels;6
Matsch;6
Matthey;6
Meyenberg;6
Miéville;6
Miville;6
Montfaucon;6
Montferrand;6
Montheys;6
Morand;6
Mörikofer;6
Morosini;6
Moschard;6
Muyden;6
Neher;6
Neuenschwander;6
Neuhaus;6
Nicole;6
Nicolet;6
Niederer;6
Niggli;6
Nordmann;6
Normandie;6
Ochsner;6
Oeri;6
Otton;6
Panchaud;6
Patocchi;6
Pauli;6
Perini;6
Piaget;6
Pometta;6
Prangins;6
Python;6
Rambevaux;6
Renggli;6
Repond;6
Reutlinger;6
Rey;6
Rham;6
Rhäzüns;6
